address,bank,body,amount
VK-INDUSUPI-I,IndusInd Bank,"Cr alert! Rs.2,8,951.97 CR to your IndusInd Bank A/c XX*6575 on 30-06-25 via UPI from VPA ola@axl (Ref 684188403055). Bal Rs. 8,2,214.95.",28951.97
VK-AXISUPI-T,Axis Bank,"Rs.2,151.73 credited to Axis Bank A/c XX*1834 on 15-Jun-2025 via NEFT. Ref 508754116182. Bal Rs. 9,6,883.37.",2151.73
AD-PNBSMS-T,Punjab National Bank,"₹6,892.83 CR to your Punjab National Bank A/c XX1196 on 07-Aug-2025. Ref 7NQR3TB8VFQ6D6. Avl bal: ₹ 2,1,014.73.",6892.83
AD-KOTAKB-T,Kotak Mahindra Bank,Txn alert: ₹412.55 purchase on Card linked to Kotak Mahindra Bank A/c XX6666 at Amazon on 08-06-25. Ref 075RE0DRIMR25I.,412.55
VK-SBIINB-I,State Bank of India,"Tx Alert: INR1,0,720.58 paid from State Bank of India A/c xxxx8499 via NETBANK on 18/07/2025. Ref 5EHR07N8VOEUBF. Avail bal INR15,8,345.14.",10720.58
JD-IDFCFB-I,IDFC FIRST Bank,"₹9,263.96 CR to your IDFC FIRST Bank A/c xxxx1312 on 27-07-25. Ref 874360836294. Bal ₹ 5,246.70.",9263.96
AD-AXISBK,Axis Bank,"INR4,086.62 spent from Axis Bank A/c **8140 via IMPS on 19/06/2025. Ref 696507485986. Avail bal INR19,4,069.08.",4086.62
VK-ICICIB-I,ICICI Bank,₹77.44 received to your ICICI Bank A/c xxxx9614 on 31/07/2025. Ref TANZR2MULJAVB3K3.,77.44
AD-SBIUPI,State Bank of India,"Rs.4,1,437.24 DR from State Bank of India A/c XX*2605 via UPI to Amazon (amazon@idfcbank) on 02-06-25. Ref 710242231396. Avl bal: Rs. 12,9,704.22.",41437.24
VK-PNBUPI-T,Punjab National Bank,Txn alert: ₹279.09 spent on Card linked to Punjab National Bank A/c xxxx9696 at Paytm on 09-Aug-2025. Ref 573460820226.,279.09
VM-INDUSB-I,IndusInd Bank,"₹4,779.66 spent from IndusInd Bank A/c XX1285 via NETBANK on 13-06-25. Ref 779289752739.",4779.66
BP-KOTAKUPI-I,Kotak Mahindra Bank,"Dear Customer, Rs.481.94 paid from Kotak Mahindra Bank A/c XX9001 via UPI to HP Fuel (hpfuel@sbi) on 25-Jul-2025. Ref 731136337834. Avl bal: Rs. 2,2,368.17.",481.94
VK-INDUSUPI-S,IndusInd Bank,"INR2,7,464.93 CR to your IndusInd Bank A/c **4358 on 01-Jul-2025. Ref 384107365453. Avail bal INR8,2,261.55.",27464.93
VK-YESUPI-S,YES Bank,"₹697.44 paid from YES Bank A/c xxxx9083 via IMPS on 06-Jul-2025. Ref Z6DF08UPNZASYWDR. Bal ₹ 1,7,904.97.",697.44
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: INR1,649.08 DR from Punjab National Bank A/c XX*8234 via NEFT on 09-Jun-2025. Ref 772619274120.",1649.08
BP-KOTAKUPI-I,Kotak Mahindra Bank,"₹3,680.36 received to your Kotak Mahindra Bank A/c **8066 on 09-08-25. Ref 448900404767. Avail bal ₹16,5,575.85.",3680.36
BZ-HDFCBK-T,HDFC Bank,Rs.486.05 purchase from HDFC Bank A/c XX*7658 via UPI to Ola (ola@sbi) on 08/06/2025. Ref 541800309361.,486.05
VM-ICICIB-S,ICICI Bank,₹487.97 DR from ICICI Bank A/c **3742 via NEFT on 02-07-25. Ref 969283377503.,487.97
VM-IDFCUPI,IDFC FIRST Bank,"Rs.4,3,881.55 added to your IDFC FIRST Bank A/c XX*9297 on 11/07/2025. Ref TK5EZS96KW0PN. Avl bal: Rs. 12,3,069.31.",43881.55
VK-ICICIB-T,ICICI Bank,"Tx Alert: Txn alert: ₹2,8,427.28 debited on Card linked to ICICI Bank A/c XX*3611 at Myntra on 15-07-25. Ref 200516910915.",28427.28
AD-INDUSB,IndusInd Bank,"Dear Customer, INR1,9,328.92 CR to your IndusInd Bank A/c xxxx2191 on 28/07/2025. Ref CD9JC1YLJUYUN9V. Avail bal INR16,0,783.91.",19328.92
VK-BOBUPI-S,Bank of Baroda,"Rs.459.48 credited to your Bank of Baroda A/c **3755 on 22-07-25. Ref KFORDCLVFD. Bal Rs. 17,0,649.67.",459.48
AD-KOTAKB-S,Kotak Mahindra Bank,₹390.57 received to your Kotak Mahindra Bank A/c XX*3910 on 30-07-25. Ref 938953377368.,390.57
AD-INDUSB-T,IndusInd Bank,INR394.02 received to your IndusInd Bank A/c XX7244 on 20-06-25. Ref 235254499603.,394.02
VK-SBIINB-T,State Bank of India,"Rs.4,503.77 credited to State Bank of India A/c **3821 on 29-Jun-2025 via IMPS. Ref 232347588043. Avl bal: Rs. 4,2,363.28.",4503.77
AD-KOTAKB-S,Kotak Mahindra Bank,"Dear Customer, INR353.53 credited to your Kotak Mahindra Bank A/c XX*6761 on 07-Jul-2025. Ref 124760229468.",353.53
VK-SBIINB,State Bank of India,"Rs.2,324.12 paid from State Bank of India A/c XX8607 via IMPS on 19-Aug-2025. Ref NYTK1ZWUHY.",2324.12
BZ-HDFCBK-T,HDFC Bank,"₹3,287.96 credited to HDFC Bank A/c XX4626 on 09-Aug-2025 via NEFT. Ref 6KOF8KRD5EQY0.",3287.96
VK-AXISUPI-S,Axis Bank,AXIS Alert: Rs.329.28 debited from Axis Bank A/c xxxx1130 via UPI to Big Bazaar (bigbazaar@idfcbank) on 14/06/2025. Ref NU4I5YMQT3DG.,329.28
BZ-HDFCBK-I,HDFC Bank,"Credited alert! ₹4,144.17 credited to your HDFC Bank A/c xxxx8792 on 23-Jul-2025 via UPI from VPA paytm@upi (Ref D6MZSGIPPSFNK).",4144.17
VK-PNBUPI-I,Punjab National Bank,"INR3,515.36 credited to your Punjab National Bank A/c XX*7893 on 24-Aug-2025. Ref 294753577721. Avail bal INR15,6,858.83.",3515.36
VK-YESUPI,YES Bank,"₹344.68 DR from YES Bank A/c XX2059 via UPI to Google Play Store (googleplay@oksbi) on 19-08-25. Ref 167572351889. Avl bal: ₹ 14,8,981.61.",344.68
VK-PNBUPI,Punjab National Bank,Txn alert: INR232.87 paid on Card linked to Punjab National Bank A/c xxxx2542 at Big Bazaar on 23-06-25. Ref 591139814367.,232.87
MD-PNBSMS-T,Punjab National Bank,"Tx Alert: Rs.3,546.04 spent from Punjab National Bank A/c **2314 via NEFT on 29/07/2025. Ref 923WVLCX7MM1H.",3546.04
VK-KOTAKB-S,Kotak Mahindra Bank,"₹1,418.35 added to Kotak Mahindra Bank A/c **5344 on 04-06-25 via IMPS. Ref 460888192010.",1418.35
MD-PNBSMS-T,Punjab National Bank,"INR3,4,107.13 added to your Punjab National Bank A/c XX*5005 on 08-Jul-2025. Ref BNLMA4AC1PUVD3XA.",34107.13
VK-PNBUPI-T,Punjab National Bank,"Dear Customer, Credited alert! ₹178.63 credited to your Punjab National Bank A/c xxxx5455 on 05-08-25 via UPI from VPA bigbazaar@kotak (Ref 522649120996).",178.63
BZ-HDFCBK-I,HDFC Bank,"INR1,199.66 credited to your HDFC Bank A/c XX2674 on 04-Jul-2025. Ref 762902242161.",1199.66
BP-KOTAKUPI-T,Kotak Mahindra Bank,"Received alert! Rs.1,6,066.12 received to your Kotak Mahindra Bank A/c xxxx7163 on 18-Aug-2025 via UPI from VPA paytm@oksbi (Ref QRGREWDS0HPR).",16066.12
VM-IDFCUPI,IDFC FIRST Bank,"₹190.26 CR to your IDFC FIRST Bank A/c xxxx7866 on 24/06/2025. Ref FNSCQQAVAQDMFZT. Avail bal ₹15,9,154.71.",190.26
AD-PNBSMS-T,Punjab National Bank,"Rs.2,6,591.64 paid from Punjab National Bank A/c XX4155 via IMPS on 14-Aug-2025. Ref 590116811594. Bal Rs. 8,9,915.82.",26591.64
MD-PNBSMS,Punjab National Bank,"Rs.2,3,188.93 debited from Punjab National Bank A/c XX1540 via NETBANK on 01-Aug-2025. Ref BKE4HS0LT59HHP.",23188.93
AD-HDFCBK,HDFC Bank,"ATM cash paid: Rs.4,7,310.17 from A/c XX*9647 on 09-07-25. Ref 358935424617.",47310.17
AD-ICICIB,ICICI Bank,"Dear Customer, ₹270.70 credited to ICICI Bank A/c XX*1326 on 26/06/2025 via IMPS. Ref 778252199568.",270.7
AD-INDUSB-T,IndusInd Bank,"Txn alert: INR1,110.33 purchase on Card linked to IndusInd Bank A/c XX*4384 at Airtel on 07-08-25. Ref 974872640469. Avail bal INR8,8,254.22.",1110.33
VK-ICICIB-T,ICICI Bank,"ICICI Alert: ₹3,1,849.47 credited to ICICI Bank A/c XX9970 on 15/07/2025 via IMPS. Ref 914962728298. Bal ₹ 4,4,547.20.",31849.47
AD-IDFCFB,IDFC FIRST Bank,"Received alert! INR113.38 received to your IDFC FIRST Bank A/c **8064 on 28-Jul-2025 via UPI from VPA hpfuel@idfcbank (Ref 357925242054). Avail bal INR10,7,069.27.",113.38
TM-SBIINB,State Bank of India,"SBI Alert: ₹1,3,943.81 received to your State Bank of India A/c xxxx6336 on 18/07/2025. Ref IIOH6CVBPHVG.",13943.81
VK-PNBUPI-S,Punjab National Bank,"Rs.3,149.06 spent from Punjab National Bank A/c **5718 via CHEQUE on 19/06/2025. Ref LWL8U8PN74.",3149.06
BP-KOTAKUPI,Kotak Mahindra Bank,"₹2,5,029.79 received to Kotak Mahindra Bank A/c XX1635 on 20-07-25 via IMPS. Ref 7DYVGDGFWMQX. Avail bal ₹7,3,455.86.",25029.79
BP-YESBNK-S,YES Bank,"Received alert! INR1,398.39 received to your YES Bank A/c **1589 on 25-Aug-2025 via UPI from VPA irctc@ybl (Ref NS9PZEMJGKCQ). Avl bal: INR 2,6,140.90.",1398.39
BZ-BOBMSG-T,Bank of Baroda,Rs.236.38 credited to your Bank of Baroda A/c XX*7527 on 31-Jul-2025. Ref R7PHNI2MLW2EK0B.,236.38
MD-PNBSMS-S,Punjab National Bank,"Rs.2,8,895.71 CR to your Punjab National Bank A/c XX9693 on 24-Aug-2025. Ref 202803306317. Avail bal Rs.12,1,757.44.",28895.71
AD-YESBNK-I,YES Bank,INR72.02 debited from YES Bank A/c XX*1976 via NETBANK on 15-06-25. Ref 551847051700.,72.02
VK-ICICIB-S,ICICI Bank,Txn alert: INR250.98 DR on Card linked to ICICI Bank A/c **6742 at Swiggy on 05-06-25. Ref AN085RNTDR5XYFC.,250.98
AD-INDUSB-I,IndusInd Bank,"Tx Alert: Txn alert: Rs.3,4,829.66 purchase on Card linked to IndusInd Bank A/c XX7463 at Amazon on 05/06/2025. Ref 229583034596. Avl bal: Rs. 8,0,342.85.",34829.66
VK-AXISUPI-I,Axis Bank,Rs.567.24 debited from Axis Bank A/c XX9964 via CHEQUE on 22-06-25. Ref 445550768552.,567.24
AD-BOBMSG,Bank of Baroda,"BOB Alert: Added alert! ₹1,947.63 added to your Bank of Baroda A/c XX*2483 on 16-08-25 via UPI from VPA flipkart@ibl (Ref 879267395877). Avail bal ₹8,3,795.97.",1947.63
VK-AXISUPI-T,Axis Bank,"AXIS Alert: Txn alert: Rs.4,007.82 purchase on Card linked to Axis Bank A/c **1178 at Zomato on 12-Jul-2025. Ref 974315622968. Avail bal Rs.4,2,828.95.",4007.82
VK-ICICIB,ICICI Bank,"₹4,7,261.26 purchase from ICICI Bank A/c XX9784 via NETBANK on 06-Jun-2025. Ref 600155854757.",47261.26
AD-HDFCBK-S,HDFC Bank,"Dear Customer, INR453.09 DR from HDFC Bank A/c XX5758 via NETBANK on 15-Jul-2025. Ref 188966559419. Bal INR 16,5,676.36.",453.09
BZ-BOBMSG-T,Bank of Baroda,"INR1,2,801.13 added to Bank of Baroda A/c XX6452 on 29-Jun-2025 via NEFT. Ref 687276152015. Avl bal: INR 13,3,760.70.",12801.13
AX-AXISBK-T,Axis Bank,AXIS Alert: INR473.87 added to your Axis Bank A/c **8156 on 29/07/2025. Ref OA2VCYWL9700LF.,473.87
AD-IDFCFB,IDFC FIRST Bank,"Dear Customer, Rs.4,1,460.07 purchase from IDFC FIRST Bank A/c XX*9854 via IMPS on 24/08/2025. Ref J63XVFIUD99.",41460.07
AD-INDUSB,IndusInd Bank,"INR3,2,371.82 CR to your IndusInd Bank A/c XX5952 on 29-Jul-2025. Ref 414574279055. Avl bal: INR 11,6,514.23.",32371.82
MD-PNBSMS-T,Punjab National Bank,Rs.158.04 added to Punjab National Bank A/c xxxx2237 on 05-Jun-2025 via IMPS. Ref EGB1DINDLFDTTNI.,158.04
JD-IDFCFB,IDFC FIRST Bank,"ATM cash DR: Rs.6,494.01 from A/c **4760 on 04-Aug-2025. Ref 3J6LILB7ZWDC5P. Bal Rs. 3,4,863.87.",6494.01
BZ-BOBMSG-T,Bank of Baroda,Tx Alert: Txn alert: INR375.21 spent on Card linked to Bank of Baroda A/c XX*9596 at Myntra on 14/08/2025. Ref 545467586309.,375.21
TM-SBIINB,State Bank of India,"Dear Customer, ₹2,5,626.67 credited to State Bank of India A/c xxxx9791 on 10/07/2025 via NEFT. Ref 7BFXQ7BZEGB.",25626.67
AD-AXISBK-I,Axis Bank,"INR5,535.08 credited to your Axis Bank A/c xxxx9399 on 24/07/2025. Ref I0RS210Q2LG. Avail bal INR11,5,712.94.",5535.08
BZ-BOBMSG-I,Bank of Baroda,INR455.76 added to Bank of Baroda A/c xxxx3169 on 30/06/2025 via NEFT. Ref 869125621578.,455.76
MD-PNBSMS,Punjab National Bank,"Rs.3,5,473.03 debited from Punjab National Bank A/c XX*5686 via NETBANK on 23-08-25. Ref EUNPU4EGJN567N. Bal Rs. 2,2,390.03.",35473.03
BP-YESBNK-T,YES Bank,Txn alert: INR370.09 paid on Card linked to YES Bank A/c XX9919 at Zomato on 11-Jun-2025. Ref IDYREX9BOBC.,370.09
BP-KOTAKUPI-T,Kotak Mahindra Bank,"INR3,9,988.61 CR to your Kotak Mahindra Bank A/c XX*7571 on 16/08/2025. Ref 560496740960.",39988.61
BZ-BOBMSG,Bank of Baroda,"INR1,709.01 spent from Bank of Baroda A/c XX*4217 via CHEQUE on 02/06/2025. Ref 724697131703.",1709.01
AX-AXISBK,Axis Bank,"Dear Customer, ₹4,515.76 added to your Axis Bank A/c XX*6435 on 28-Aug-2025. Ref 697240437618. Bal ₹ 9,382.91.",4515.76
TM-SBIINB-T,State Bank of India,"Rs.2,0,807.12 paid from State Bank of India A/c xxxx5001 via NETBANK on 11/06/2025. Ref 749880518971. Avl bal: Rs. 10,7,914.15.",20807.12
VM-IDFCUPI,IDFC FIRST Bank,Txn alert: INR338.16 purchase on Card linked to IDFC FIRST Bank A/c **3728 at Reliance Trends on 03/06/2025. Ref 824TL7JE0Q0RFOI.,338.16
VK-AXISUPI-I,Axis Bank,"INR4,4,679.49 credited to Axis Bank A/c xxxx7370 on 03-06-25 via IMPS. Ref 968046733083.",44679.49
AD-ICICIB-T,ICICI Bank,"ICICI Alert: ₹8,078.52 debited from ICICI Bank A/c xxxx1138 via IMPS on 20/08/2025. Ref 335031055932.",8078.52
BZ-BOBMSG-S,Bank of Baroda,₹234.87 credited to your Bank of Baroda A/c XX*1428 on 11/06/2025. Ref 0FUVIV6TXOMI8.,234.87
VM-ICICIB-I,ICICI Bank,"Rs.1,617.18 added to your ICICI Bank A/c XX5444 on 26-08-25. Ref 650268636982.",1617.18
TM-SBIINB-T,State Bank of India,"₹4,486.02 added to your State Bank of India A/c **6139 on 19/06/2025. Ref 772281746428.",4486.02
VK-YESUPI,YES Bank,"Txn alert: INR2,919.05 debited on Card linked to YES Bank A/c xxxx9993 at Amazon on 09-Aug-2025. Ref P4H2HWSWCZ. Bal INR 5,5,624.10.",2919.05
VM-HDFCBK,HDFC Bank,"HDFC Alert: INR8,603.10 added to HDFC Bank A/c **5843 on 22/06/2025 via IMPS. Ref 571233773989.",8603.1
BP-KOTAKUPI-S,Kotak Mahindra Bank,"Dear Customer, Txn alert: Rs.70.42 spent on Card linked to Kotak Mahindra Bank A/c xxxx3096 at BPCL on 05-Jun-2025. Ref 939536452900. Avail bal Rs.8,3,267.84.",70.42
VK-KOTAKB-I,Kotak Mahindra Bank,"INR65.09 credited to your Kotak Mahindra Bank A/c **5145 on 23-06-25. Ref 3579WRR513BB6F. Avl bal: INR 12,7,676.89.",65.09
MD-PNBSMS,Punjab National Bank,"INR4,7,843.99 received to your Punjab National Bank A/c xxxx2861 on 13-07-25. Ref 521154404565.",47843.99
BP-KOTAKUPI-S,Kotak Mahindra Bank,"₹687.35 debited from Kotak Mahindra Bank A/c xxxx9893 via UPI to Spencer's (spencer's@oksbi) on 29-07-25. Ref BB8NMT3YPS4SYBH. Avail bal ₹4,1,119.84.",687.35
VK-SBIINB,State Bank of India,Rs.457.03 debited from State Bank of India A/c XX7489 via CHEQUE on 06-Jul-2025. Ref SGG0YVGV0E7450.,457.03
BP-KOTAKUPI-T,Kotak Mahindra Bank,KOTAK Alert: INR108.00 credited to your Kotak Mahindra Bank A/c xxxx2888 on 26-Jun-2025. Ref CTG08ZZKK4J1O.,108
VK-SBIINB-I,State Bank of India,"SBI Alert: Rs.3,615.00 credited to your State Bank of India A/c xxxx5216 on 19/06/2025. Ref 1NLC8JPR7VGR.",3615
BP-YESBNK-S,YES Bank,"Rs.1,972.46 paid from YES Bank A/c **3394 via NEFT on 19-Jul-2025. Ref 9VT3X8VE00H2K. Avl bal: Rs. 2,9,239.89.",1972.46
BZ-BOBMSG,Bank of Baroda,ATM cash spent: INR346.41 from A/c XX*2234 on 14-08-25. Ref OS7NNXXYMX.,346.41
BP-YESBNK-S,YES Bank,"Dear Customer, INR1,0,542.81 received to your YES Bank A/c XX5699 on 21/07/2025. Ref 354373063425.",10542.81
AD-YESBNK-T,YES Bank,"Rs.1,8,214.40 purchase from YES Bank A/c XX*7571 via CHEQUE on 17-Jun-2025. Ref 24XHQZBC5F9.",18214.4
BZ-BOBMSG-I,Bank of Baroda,"Txn alert: INR122.03 spent on Card linked to Bank of Baroda A/c XX6702 at HP Fuel on 25-07-25. Ref 721792740963. Avail bal INR12,9,353.39.",122.03
AD-PNBSMS,Punjab National Bank,"ATM cash debited: Rs.4,112.18 from A/c **9109 on 09/06/2025. Ref 780920471705. Bal Rs. 12,7,439.35.",4112.18
AD-KOTAKB-I,Kotak Mahindra Bank,"Dear Customer, INR4,721.64 received to your Kotak Mahindra Bank A/c xxxx6105 on 15-07-25. Ref VC1FRF899OFPVI.",4721.64
AD-HDFCBK-S,HDFC Bank,"₹2,983.97 received to HDFC Bank A/c XX*8381 on 07-07-25 via IMPS. Ref 414526795461.",2983.97
VK-INDUSUPI-T,IndusInd Bank,Tx Alert: Rs.462.16 credited to your IndusInd Bank A/c xxxx5356 on 21-07-25. Ref 671917312401.,462.16
BZ-HDFCBK-T,HDFC Bank,Rs.814.88 DR from HDFC Bank A/c XX6143 via NEFT on 01/06/2025. Ref SYLZTGXN0GUO.,814.88
AD-HDFCBK,HDFC Bank,"INR2,501.13 credited to your HDFC Bank A/c **2627 on 16/07/2025. Ref 812869405517.",2501.13
AD-HDFCBK,HDFC Bank,"Tx Alert: ₹1,813.38 added to your HDFC Bank A/c XX*8905 on 20-Jul-2025. Ref 261281455424.",1813.38
AX-AXISBK-S,Axis Bank,"Rs.4,1,805.32 CR to Axis Bank A/c xxxx8778 on 29-Jul-2025 via IMPS. Ref VSYJAFCO3S65.",41805.32
VM-HDFCBK-S,HDFC Bank,"Cr alert! ₹1,311.18 CR to your HDFC Bank A/c xxxx4145 on 21-Jun-2025 via UPI from VPA flipkart@sbi (Ref C4D145BM1EN).",1311.18
JD-IDFCFB-T,IDFC FIRST Bank,"₹1,170.28 credited to your IDFC FIRST Bank A/c **9339 on 08/06/2025. Ref 43F1AYSV6O. Bal ₹ 13,3,828.85.",1170.28
AD-HDFCBK,HDFC Bank,Txn alert: Rs.81.89 debited on Card linked to HDFC Bank A/c xxxx9834 at IRCTC on 14-06-25. Ref UIRODXMO5BXXC0.,81.89
BP-KOTAKUPI-S,Kotak Mahindra Bank,"Dear Customer, Received alert! ₹4,0,238.93 received to your Kotak Mahindra Bank A/c xxxx4741 on 20/08/2025 via UPI from VPA flipkart@idfcbank (Ref 538227713215). Avl bal: ₹ 19,2,350.41.",40238.93
VK-YESUPI-T,YES Bank,"Dear Customer, INR3,870.73 added to your YES Bank A/c **1562 on 28-Jul-2025. Ref 876432006248. Avl bal: INR 2,6,112.64.",3870.73
AD-KOTAKB,Kotak Mahindra Bank,"INR3,4,386.40 received to your Kotak Mahindra Bank A/c XX1202 on 04/07/2025. Ref 455025331634. Bal INR 9,3,554.68.",34386.4
AD-BOBMSG-I,Bank of Baroda,"Tx Alert: Txn alert: Rs.4,481.85 purchase on Card linked to Bank of Baroda A/c **7775 at Myntra on 10-Jun-2025. Ref 768971459898. Avail bal Rs.13,9,167.77.",4481.85
VK-ICICIB-S,ICICI Bank,"Tx Alert: ₹3,4,361.27 added to your ICICI Bank A/c xxxx9869 on 24-06-25. Ref Y66P61XUFCTZ.",34361.27
BZ-BOBMSG-I,Bank of Baroda,"Rs.4,139.83 received to your Bank of Baroda A/c XX*2639 on 19-Aug-2025. Ref 644800413319. Avail bal Rs.3,6,959.05.",4139.83
VK-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.3,700.00 received to ICICI Bank A/c XX5190 on 14-06-25 via IMPS. Ref 826055461255. Bal Rs. 7,6,360.63.",3700
VM-HDFCBK-S,HDFC Bank,"₹2,2,526.46 added to your HDFC Bank A/c XX*1320 on 09/07/2025. Ref 490596101232.",22526.46
TM-SBIINB,State Bank of India,INR197.33 CR to your State Bank of India A/c XX3276 on 02-Jun-2025. Ref FTOUHYLU6K7P9MD.,197.33
BZ-HDFCBK-S,HDFC Bank,"Rs.2,3,598.56 added to HDFC Bank A/c XX8739 on 12-Jun-2025 via NEFT. Ref AT7O75RH8LX.",23598.56
AD-PNBSMS-S,Punjab National Bank,"Rs.3,5,686.76 added to your Punjab National Bank A/c xxxx4673 on 05/06/2025. Ref 222836418353. Avl bal: Rs. 15,4,784.79.",35686.76
AD-SBIUPI-T,State Bank of India,"SBI Alert: Txn alert: ₹409.79 debited on Card linked to State Bank of India A/c XX5595 at Google Play Store on 08-Aug-2025. Ref 788806414236. Bal ₹ 2,3,810.51.",409.79
AD-PNBSMS-I,Punjab National Bank,Rs.276.58 credited to your Punjab National Bank A/c XX9981 on 28-Jun-2025. Ref 408596026157.,276.58
AD-AXISBK-I,Axis Bank,"Txn alert: ₹4,8,778.20 debited on Card linked to Axis Bank A/c xxxx6463 at Zomato on 27/06/2025. Ref 7NTTRTIDZS13HDN.",48778.2
VK-YESUPI-I,YES Bank,"Dear Customer, Rs.62.10 received to YES Bank A/c xxxx5509 on 06-06-25 via IMPS. Ref 354077183459.",62.1
VM-HDFCBK,HDFC Bank,"₹2,978.79 debited from HDFC Bank A/c XX9740 via NEFT on 14-08-25. Ref 749264347369.",2978.79
BP-KOTAKUPI-I,Kotak Mahindra Bank,"Received alert! ₹4,5,484.99 received to your Kotak Mahindra Bank A/c **3772 on 22-Jul-2025 via UPI from VPA uber@ybl (Ref 834184051038). Avail bal ₹16,5,096.98.",45484.99
AD-AXISBK,Axis Bank,Rs.311.75 received to Axis Bank A/c xxxx8308 on 21-07-25 via NEFT. Ref N6DGG5GR0XAFG.,311.75
AD-ICICIB-S,ICICI Bank,"INR3,9,718.54 added to ICICI Bank A/c xxxx5521 on 20/06/2025 via NEFT. Ref 492819297214. Avl bal: INR 16,2,309.31.",39718.54
VK-AXISUPI-T,Axis Bank,"INR2,4,329.31 purchase from Axis Bank A/c XX5006 via NETBANK on 09-Jun-2025. Ref GT2LB25485HCQX. Bal INR 9,3,121.32.",24329.31
